Name,Nome Completo,Logo,Colore,Destinatari,Tpo,Sito Web,Soglia Minima Pratica (€),Giorni per Rimborso,Note Generali,Coperture
Quas,Quadri Assistenza Sanitaria,,,"Quadri settore Terziario, Turismo, DMO",Fondo Sanitario Integrativo,https://www.quas.it,"160,0","365,0",,
FASDAC,Fondo Assistenza Sanitaria Dirigenti Aziende Commerciali,,,Dirigenti,Fondo Sanitario Integrativo,https://www.fasdac.it/,,,,
Fondo Est,Fondo Est,,,"Commercio Turismo e settori affini
",Fondo Sanitario Integrativo,https://www.fondoest.it/,,,,