ID,Nome Tecnico,Categoria,Descrizione semplice,Sinonimi,Keywords ricerca,Complessità,Coperture
ablazione_tartaro,Ablazione del tartaro,Odontoiatria,"Rimozione professionale di placca e tartaro dai denti mediante strumenti specifici (ablatore ultrasonico o manuale), seguita da lucidatura delle superfici dentali. È una procedura di igiene orale professionale fondamentale per prevenire gengiviti e parodontiti.","pulizia dei denti, pulizia denti, detartrasi, igiene orale, igiene dentale professionale, rimozione tartaro, scaling, pulizia dentale, igienista dentale, seduta di igiene","pulizia, denti, tartaro, igiene, dentista, igienista, placca, gengiviti",Semplice,
visita_cardiologica,Visita cardiologica,Visite Specialistiche,"Consulto specialistico con un medico cardiologo per valutare la salute del cuore e dell'apparato cardiovascolare. Include anamnesi, esame obiettivo e valutazione di sintomi come dolore toracico, palpitazioni, affanno. Può essere prescritta per controllo preventivo o per indagare specifici disturbi.","visita cuore, cardiologo, visita cardiovascolare, controllo cardiaco, visita dal cardiologo, specialista cuore, consulto cardiologico","cuore, cardiologo, cardiovascolare, pressione, palpitazioni, dolore petto, affanno, controllo cuore",Media,
risonanza_magnetica_ginocchio,Risonanza Magnetica Nucleare ginocchio senza mezzo di contrasto,Diagnostica,"Esame diagnostico per immagini che utilizza campi magnetici e onde radio per ottenere immagini dettagliate delle strutture interne del ginocchio (ossa, cartilagini, legamenti, menischi). Non utilizza radiazioni ionizzanti. Versione senza mezzo di contrasto.","risonanza ginocchio, RM ginocchio, RMN ginocchio, risonanza magnetica ginocchio, imaging ginocchio","risonanza, magnetica, ginocchio, legamenti, menisco, RM, RMN, imaging, dolore ginocchio",Media,
esami_sangue_base,Esami ematochimici di base,Diagnostica,"Prelievo venoso e analisi di laboratorio per valutare parametri ematici fondamentali: emocromo completo, glicemia, colesterolo, trigliceridi, transaminasi, creatinina, funzionalità renale ed epatica. Utile per check-up preventivi o per monitorare patologie.","esami del sangue, analisi sangue, prelievo sangue, esami ematici, emocromo, check up sangue, analisi cliniche, prelievo venoso, esami di routine","sangue, prelievo, analisi, emocromo, glicemia, colesterolo, laboratorio, check up",Semplice,
fisioterapia_seduta,Seduta di fisioterapia individuale,Terapie,"Trattamento riabilitativo individuale con fisioterapista qualificato, della durata media di 30-60 minuti. Può includere: terapia manuale, esercizi terapeutici, mobilizzazione articolare, tecniche per ridurre dolore e infiammazione, educazione posturale. Prescritta per recupero post-traumatico, patologie muscolo-scheletriche, dolori cronici.","fisioterapia, fisioterapista, terapia fisica, riabilitazione, seduta riabilitativa, fisiokinesiterapia, terapia manuale","fisioterapia, fisio, riabilitazione, dolore schiena, male collo, recupero, terapia fisica, fisioterapista",Media,
ID,Nome Tecnico,,Descrizione Semplice,Sinonimi,Keywords Ricerca,,
visita_cardiologica,Visita cardiologica,Visite Specialistiche,"Consulto specialistico con un medico cardiologo per valutare la salute del cuore e dell'apparato cardiovascolare. Include anamnesi, esame obiettivo e valutazione di sintomi come dolore toracico, palpitazioni, affanno.","visita cuore, cardiologo, visita cardiovascolare, controllo cardiaco, specialista cuore, consulto cardiologico","cuore, cardiologo, cardiovascolare, pressione, palpitazioni, dolore petto",Media,
visita_oculistica,Visita oculistica,Visite Specialistiche,"Visita dall'oculista per valutare la vista e la salute degli occhi. Include controllo acuità visiva, esame del fondo oculare, misurazione pressione oculare.","visita occhi, oculista, vista, controllo vista, oftalmologo","occhi, vista, oculista, miopia, astigmatismo, presbiopia, glaucoma",Media,
visita_ortopedica,Visita ortopedica,Visite Specialistiche,"Visita specialistica per valutare problemi alle ossa, articolazioni, muscoli e tendini. Utile per dolori articolari, traumi, problemi posturali.","ortopedico, visita ossa, dolori articolari, traumatologo","ortopedia, ossa, articolazioni, dolori, frattura, distorsione, schiena",Media,
visita_dermatologica,Visita dermatologica,Visite Specialistiche,"Visita dal dermatologo per valutare problemi della pelle, nei, acne, dermatiti, psoriasi e altre patologie cutanee.","dermatologo, visita pelle, nei, controllo nei","pelle, dermatologia, nei, acne, eczema, psoriasi, allergie cutanee",Media,
visita_ginecologica,Visita ginecologica,Visite Specialistiche,"Visita specialistica per la salute dell'apparato genitale femminile. Include pap test, ecografia pelvica, consulenza contraccettiva.","ginecologo, visita donna, controllo ginecologico","ginecologia, donna, mestruazioni, gravidanza, pap test, utero, ovaie",Media,
ID,Nome Tecnico,,Descrizione Semplice,Sinonimi,Keywords Ricerca,,
visita_cardiologica,Visita cardiologica,Visite Specialistiche,"Consulto specialistico con un medico cardiologo per valutare la salute del cuore e dell'apparato cardiovascolare. Include anamnesi, esame obiettivo e valutazione di sintomi come dolore toracico, palpitazioni, affanno.","visita cuore, cardiologo, visita cardiovascolare, controllo cardiaco, specialista cuore, consulto cardiologico","cuore, cardiologo, cardiovascolare, pressione, palpitazioni, dolore petto, affanno",Media,
visita_oculistica,Visita oculistica,Visite Specialistiche,"Visita dall'oculista per valutare la vista e la salute degli occhi. Include controllo acuità visiva, esame del fondo oculare, misurazione pressione oculare.","visita occhi, oculista, vista, controllo vista, oftalmologo, visita oftalmologica","occhi, vista, oculista, miopia, astigmatismo, presbiopia, glaucoma, cataratta",Media,
visita_ortopedica,Visita ortopedica,Visite Specialistiche,"Visita specialistica per valutare problemi alle ossa, articolazioni, muscoli e tendini. Utile per dolori articolari, traumi, problemi posturali, patologie della colonna vertebrale.","ortopedico, visita ossa, dolori articolari, traumatologo, ortopedia","ortopedia, ossa, articolazioni, dolori, frattura, distorsione, schiena, ginocchio",Media,
visita_dermatologica,Visita dermatologica,Visite Specialistiche,"Visita dal dermatologo per valutare problemi della pelle, controllo nei, acne, dermatiti, psoriasi e altre patologie cutanee. Include mappatura nei se necessario.","dermatologo, visita pelle, nei, controllo nei, dermatologo","pelle, dermatologia, nei, acne, eczema, psoriasi, allergie cutanee, dermatite",Media,
visita_ginecologica,Visita ginecologica,Visite Specialistiche,"Visita specialistica per la salute dell'apparato genitale femminile. Include esame ginecologico, pap test, consulenza contraccettiva, problemi mestruali.","ginecologo, visita donna, controllo ginecologico, ginecologa","ginecologia, donna, mestruazioni, gravidanza, pap test, utero, ovaie, ciclo",Media,
visita_neurologica,Visita neurologica,Visite Specialistiche,"Visita specialistica per valutare problemi del sistema nervoso: cefalee, vertigini, formicolii, problemi di memoria, tremori, disturbi del movimento.","neurologo, visita sistema nervoso, neurologia, consulto neurologico","neurologia, nervi, cefalea, emicrania, vertigini, formicolii, Parkinson, epilessia",Media,
visita_otorinolaringoiatrica,Visita otorinolaringoiatrica (ORL),Visite Specialistiche,"Visita specialistica per problemi di orecchie, naso e gola: otiti, sinusiti, ronzii, vertigini, tonsilliti, problemi di udito, apnee notturne.","visita orl, otorinolaringoiatra, otorino, visita orecchie naso gola","orl, otorino, orecchie, naso, gola, sinusite, otite, udito, tonsille, apnee",Media,
visita_urologica,Visita urologica,Visite Specialistiche,"Visita specialistica per problemi dell'apparato urinario e genitale maschile: prostata, vescica, reni, calcolosi, incontinenza, problemi sessuali.","urologo, visita prostata, urologia","urologia, prostata, vescica, reni, calcoli, incontinenza, PSA",Media,
visita_endocrinologica,Visita endocrinologica,Visite Specialistiche,"Visita specialistica per problemi ormonali e metabolici: tiroide, diabete, obesità, problemi mestruali di origine ormonale, irsutismo.","endocrinologo, visita tiroide, ormoni, endocrinologia","endocrinologia, tiroide, diabete, ormoni, metabolismo, obesità, glicemia",Media,
visita_gastroenterologica,Visita gastroenterologica,Visite Specialistiche,"Visita specialistica per problemi dell'apparato digerente: stomaco, intestino, fegato, reflusso, colite, gastrite, emorroidi.","gastroenterologo, visita stomaco, intestino, gastroenterologia","gastroenterologia, stomaco, intestino, reflusso, colite, gastrite, colon, fegato",Media,
visita_pneumologica,Visita pneumologica,Visite Specialistiche,"Visita specialistica per problemi respiratori: asma, bronchite, tosse persistente, dispnea, BPCO, controllo funzionalità respiratoria.","pneumologo, visita polmoni, respiratorio, pneumologia","pneumologia, polmoni, asma, bronchite, tosse, respiro, dispnea, BPCO",Media,
visita_fisiatrica,Visita fisiatrica,Visite Specialistiche,"Visita specialistica per riabilitazione e recupero funzionale: dolori muscolo-scheletrici, postumi traumi, riabilitazione post-intervento, postura.","fisiatra, visita riabilitazione, fisiatria, riabilitazione","fisiatria, riabilitazione, dolori, postura, recupero, lombalgia, cervicalgia",Media,
visita_reumatologica,Visita reumatologica,Visite Specialistiche,"Visita specialistica per malattie reumatiche: artrite, artrosi, fibromialgia, lupus, malattie autoimmuni, dolori articolari diffusi.","reumatologo, visita articolazioni, reumatologia, artrite","reumatologia, artrite, artrosi, reumatismi, fibromialgia, dolori articolari",Media,
visita_allergologica,Visita allergologica,Visite Specialistiche,"Visita specialistica per allergie: alimentari, respiratorie, cutanee, da contatto. Include test allergologici se necessari.","allergologo, test allergie, allergologia","allergie, allergologia, intolleranze, test allergici, asma allergica, rinite",Media,
visita_angiologica,Visita angiologica,Visite Specialistiche,"Visita specialistica per problemi della circolazione: varici, flebiti, insufficienza venosa, arteriopatie, gambe gonfie, capillari.","angiologo, visita circolazione, vene, angiologia","angiologia, circolazione, vene, varici, flebite, gambe gonfie, arteriopatie",Media,
visita_oncologica,Visita oncologica,Visite Specialistiche,"Visita specialistica oncologica per diagnosi, stadiazione o follow-up di patologie tumorali. Consulenza su terapie oncologiche.","oncologo, visita tumore, oncologia","oncologia, tumore, cancro, chemioterapia, follow-up oncologico",Complessa,
visita_chirurgica,Visita chirurgica generale,Visite Specialistiche,"Visita chirurgica per valutazione pre-operatoria o consulenza chirurgica: ernie, calcoli biliari, appendicite, problemi addominali.","chirurgo, visita chirurgo, chirurgia generale","chirurgia, chirurgo, ernia, appendicite, calcoli, operazione",Media,
visita_odontoiatrica,Visita odontoiatrica,Odontoiatria,"Visita dal dentista per controllo generale della salute di denti e gengive. Include esame del cavo orale, diagnosi di carie, problemi gengivali.","visita dentista, dentista, odontoiatra, controllo denti","dentista, denti, carie, gengive, odontoiatria, bocca",Semplice,
rx_torace,RX Torace,Diagnostica,"Radiografia del torace per visualizzare polmoni, cuore, costole, sterno. Utile per diagnosi di polmoniti, pleuriti, versamenti, masse.","radiografia torace, lastra torace, rx polmoni","rx, radiografia, torace, polmoni, lastra, polmonite",Semplice,
rx_colonna_vertebrale,RX Colonna vertebrale (per tratto),Diagnostica,"Radiografia della colonna vertebrale per visualizzare vertebre e spazi intervertebrali. Si specifica il tratto: cervicale, dorsale, lombare.","radiografia schiena, rx rachide, lastra colonna, rx vertebre","rx, colonna, schiena, vertebre, rachide, lombare, cervicale, dorsale",Semplice,
rx_ginocchio,RX Ginocchio,Diagnostica,"Radiografia del ginocchio per valutare ossa, spazi articolari, eventuali fratture, artrosi, lesioni ossee.","radiografia ginocchio, lastra ginocchio, rx articolazione","rx, ginocchio, radiografia, articolazione, menisco",Semplice,
rx_spalla,RX Spalla,Diagnostica,"Radiografia della spalla per valutare articolazione scapolo-omerale, clavicola, eventuali fratture, lussazioni, calcificazioni.","radiografia spalla, lastra spalla, rx omero","rx, spalla, radiografia, omero, clavicola",Semplice,
rx_mano,RX Mano,Diagnostica,"Radiografia della mano per visualizzare ossa della mano e dita. Utile per fratture, artrosi, artrite.","radiografia mano, lastra mano, rx dita","rx, mano, dita, radiografia, frattura",Semplice,
rx_piede,RX Piede,Diagnostica,"Radiografia del piede per valutare ossa metatarsali, falangi, calcagno. Utile per fratture, alluce valgo, spine calcaneari.","radiografia piede, lastra piede, rx alluce valgo","rx, piede, radiografia, alluce valgo, calcagno, metatarsi",Semplice,
rx_bacino,RX Bacino,Diagnostica,"Radiografia del bacino per visualizzare ossa iliache, sacro, articolazioni dell'anca, pube. Utile per fratture, artrosi dell'anca.","radiografia bacino, lastra bacino, rx anche","rx, bacino, anca, radiografia, femore",Semplice,
ortopantomografia,Ortopantomografia,Diagnostica,"Radiografia panoramica delle arcate dentarie che mostra tutti i denti, ossa mascellari e mandibolari in un'unica immagine.","panoramica dentale, rx dentale, ortopanoramica, opt","ortopantomografia, panoramica, denti, rx dentale, opt, arcate dentarie",Semplice,
ecografia_addome_completo,Ecografia addome completo,Diagnostica,"Ecografia di fegato, colecisti, vie biliari, pancreas, milza, reni, vescica. Valuta dimensioni e struttura degli organi addominali.","eco addome, ecografia pancia, eco addominale","ecografia, addome, fegato, reni, vescica, pancreas, milza",Semplice,
ecografia_addome_superiore,Ecografia addome superiore,Diagnostica,"Ecografia di fegato, colecisti, vie biliari, pancreas, milza. Parte superiore dell'addome.","eco addome alto, ecografia fegato","ecografia, addome superiore, fegato, colecisti, pancreas, milza",Semplice,
ecografia_addome_inferiore,Ecografia addome inferiore,Diagnostica,"Ecografia di reni, vescica, utero e ovaie (nella donna), prostata (nell'uomo). Parte inferiore dell'addome.","eco addome basso, ecografia vescica, eco pelvica","ecografia, addome inferiore, reni, vescica, pelvi",Semplice,
ecografia_tiroide,Ecografia tiroide,Diagnostica,"Ecografia della ghiandola tiroidea per valutarne dimensioni, struttura, presenza di noduli, vascolarizzazione.","eco tiroide, ecografia collo, eco tiroidea","ecografia, tiroide, noduli tiroidei, collo",Semplice,
ecografia_mammaria,Ecografia mammaria,Diagnostica,"Ecografia delle mammelle per valutare tessuto ghiandolare, presenza di noduli, cisti. Complementare alla mammografia soprattutto in donne giovani.","eco seno, ecografia seno, eco mammelle","ecografia, seno, mammella, noduli, mammografia",Semplice,
ecografia_transvaginale,Ecografia transvaginale,Diagnostica,"Ecografia ginecologica effettuata con sonda interna per visualizzare utero, ovaie, endometrio. Più dettagliata dell'ecografia pelvica esterna.","eco ginecologica, ecografia utero, eco interna","ecografia, transvaginale, utero, ovaie, ginecologica",Semplice,
tac_organo,TAC per ogni organo o distretto,Diagnostica,"Tomografia Assiale Computerizzata (TAC), esame radiologico che fornisce immagini dettagliate in sezioni di organi e tessuti. Può richiedere mezzo di contrasto.","tac, tomografia, tc, cat scan","tac, tomografia, tc, diagnostica, imaging",Media,
tac_colonna,TAC colonna (due metameri),Diagnostica,"TAC della colonna vertebrale per valutare vertebre, dischi intervertebrali, canale midollare. Si specifica il tratto (cervicale, dorsale, lombare).","tac schiena, tomografia colonna, tac vertebrale","tac, colonna, vertebre, ernia, stenosi, schiena",Media,
rm_organo,RM per ogni organo o distretto,Diagnostica,"Risonanza Magnetica, esame che utilizza campi magnetici per immagini dettagliate di organi e tessuti molli. Non usa radiazioni. Può richiedere contrasto.","risonanza, risonanza magnetica, rmn, mri","risonanza, magnetica, rm, rmn, imaging",Media,
rm_colonna,RM colonna per segmento,Diagnostica,"Risonanza Magnetica della colonna vertebrale per visualizzare vertebre, dischi, midollo spinale, radici nervose. Si specifica il segmento.","risonanza schiena, rm rachide, risonanza vertebrale","risonanza, colonna, ernia, protrusione, stenosi, rachide",Media,
ecg_basale,Elettrocardiogramma (ECG) basale,Diagnostica,"Registrazione dell'attività elettrica del cuore a riposo. Esame di base per valutare ritmo cardiaco, aritmie, segni di ischemia.","ecg, elettrocardiogramma, elettrocardiogramma a riposo","ecg, elettrocardiogramma, cuore, aritmie, tracciato",Semplice,
ecocardiogramma,Ecocardiogramma,Diagnostica,"Ecografia del cuore per valutare struttura, dimensioni, funzionalità cardiaca, valvole, contrattilità, eventuali versamenti.","eco cuore, ecocardio, ecografia cardiaca","ecocardiogramma, cuore, valvole, ecografia cardiaca",Media,
test_ergometrico,Test ergometrico,Diagnostica,"Elettrocardiogramma sotto sforzo (su cyclette o tapis roulant) per valutare risposta del cuore all'esercizio fisico, diagnosi di cardiopatia ischemica.","prova da sforzo, ecg da sforzo, test cardiologico","test ergometrico, prova sforzo, ecg sforzo, cuore",Media,
esami_sangue_base,Esami ematochimici di base,Diagnostica,"Prelievo venoso e analisi di laboratorio per valutare parametri ematici fondamentali: emocromo, glicemia, colesterolo, transaminasi, creatinina, funzionalità renale ed epatica.","esami del sangue, analisi sangue, prelievo sangue, esami ematici, emocromo","sangue, prelievo, analisi, emocromo, glicemia, colesterolo, laboratorio",Semplice,