Nome Record,Prestazione,Assicurazione,Coperta,Massimale,Compartecipazione,Frequenza Max
visita_cardiologica,,,checked,"€10,00","72,0",6
rx_torace,,,checked,"€10,00","45,0",999
Prestazione_ID,,,,,,
visita_cardiologica,,,checked,"€10,00","72,0",6
visita_oculistica,,,checked,"€10,00","72,0",6
visita_ortopedica,,,checked,"€10,00","72,0",6
visita_dermatologica,,,checked,"€10,00","72,0",6
visita_ginecologica,,,checked,"€10,00","72,0",6
visita_neurologica,,,checked,"€10,00","72,0",6
visita_otorinolaringoiatrica,,,checked,"€10,00","72,0",6
visita_urologica,,,checked,"€10,00","72,0",6
visita_endocrinologica,,,checked,"€10,00","72,0",6
visita_gastroenterologica,,,checked,"€10,00","72,0",6
visita_pneumologica,,,checked,"€10,00","72,0",6
visita_fisiatrica,,,checked,"€10,00","72,0",6
visita_reumatologica,,,checked,"€10,00","72,0",6
visita_allergologica,,,checked,"€10,00","72,0",6
visita_angiologica,,,checked,"€10,00","72,0",6
visita_oncologica,,,checked,"€10,00","72,0",6
visita_chirurgica,,,checked,"€10,00","72,0",6
visita_odontoiatrica,,,checked,"€10,00","72,0",2
rx_torace,,,checked,"€10,00","45,0",999
rx_colonna_vertebrale,,,checked,"€10,00","34,2",999
rx_ginocchio,,,checked,"€10,00","32,4",999
rx_spalla,,,checked,"€10,00","32,4",999
rx_mano,,,checked,"€10,00","32,4",999
rx_piede,,,checked,"€10,00","32,4",999
rx_bacino,,,checked,"€10,00","27,0",999
ortopantomografia,,,checked,"€10,00","39,6",1
ecografia_addome_completo,,,checked,"€10,00","88,2",999
ecografia_addome_superiore,,,checked,"€10,00","59,4",999
ecografia_addome_inferiore,,,checked,"€10,00","59,4",999
ecografia_tiroide,,,checked,"€10,00","72,0",999
ecografia_mammaria,,,checked,"€10,00","81,0",999
ecografia_transvaginale,,,checked,"€10,00","81,0",999
tac_organo,,,checked,"€10,00","135,0",999
tac_colonna,,,checked,"€10,00","127,8",999
rm_organo,,,checked,"€10,00","180,0",999
rm_colonna,,,checked,"€10,00","119,7",999
ecg_basale,,,checked,"€10,00","45,0",999
ecocardiogramma,,,checked,"€10,00","63,0",999
test_ergometrico,,,checked,"€10,00","135,0",999
esami_sangue_base,,,checked,"€10,00","0,0",999
Prestazione_ID,,,,,,
visita_cardiologica,,,checked,"€10,00","72,0",6
visita_oculistica,,,checked,"€10,00","72,0",6
visita_ortopedica,,,checked,"€10,00","72,0",6
visita_dermatologica,,,checked,"€10,00","72,0",6
visita_ginecologica,,,checked,"€10,00","72,0",6
visita_neurologica,,,checked,"€10,00","72,0",6
visita_otorinolaringoiatrica,,,checked,"€10,00","72,0",6
visita_urologica,,,checked,"€10,00","72,0",6
visita_endocrinologica,,,checked,"€10,00","72,0",6
visita_gastroenterologica,,,checked,"€10,00","72,0",6
visita_pneumologica,,,checked,"€10,00","72,0",6
visita_fisiatrica,,,checked,"€10,00","72,0",6
visita_reumatologica,,,checked,"€10,00","72,0",6
visita_allergologica,,,checked,"€10,00","72,0",6
visita_angiologica,,,checked,"€10,00","72,0",6
visita_oncologica,,,checked,"€10,00","72,0",6
visita_chirurgica,,,checked,"€10,00","72,0",6
visita_odontoiatrica,,,checked,"€10,00","72,0",2
rx_torace,,,checked,"€10,00","45,0",999
rx_colonna_vertebrale,,,checked,"€10,00","34,2",999
rx_ginocchio,,,checked,"€10,00","32,4",999
rx_spalla,,,checked,"€10,00","32,4",999
rx_mano,,,checked,"€10,00","32,4",999
rx_piede,,,checked,"€10,00","32,4",999
rx_bacino,,,checked,"€10,00","27,0",999
ortopantomografia,,,checked,"€10,00","39,6",1
ecografia_addome_completo,,,checked,"€10,00","88,2",999
ecografia_addome_superiore,,,checked,"€10,00","59,4",999
ecografia_addome_inferiore,,,checked,"€10,00","59,4",999
ecografia_tiroide,,,checked,"€10,00","72,0",999
ecografia_mammaria,,,checked,"€10,00","81,0",999
ecografia_transvaginale,,,checked,"€10,00","81,0",999
tac_organo,,,checked,"€10,00","135,0",999
tac_colonna,,,checked,"€10,00","127,8",999
rm_organo,,,checked,"€10,00","180,0",999
rm_colonna,,,checked,"€10,00","119,7",999
ecg_basale,,,checked,"€10,00","45,0",999
ecocardiogramma,,,checked,"€10,00","63,0",999
test_ergometrico,,,checked,"€10,00","135,0",999
esami_sangue_base,,,checked,"€10,00","0,0",999